date,product,category,price,quantity,revenue,customer_segment
2024-01-01,Widget A,Electronics,25.99,45,1169.55,Consumer
2024-01-01,Widget B,Electronics,35.50,30,1065.00,Business
2024-01-01,Gadget X,Home,15.75,60,945.00,Consumer
2024-01-02,Widget A,Electronics,25.99,52,1351.48,Consumer
2024-01-02,Gadget Y,Home,22.30,25,557.50,Business
2024-01-03,Widget B,Electronics,35.50,40,1420.00,Business
2024-01-03,Tool Z,Industrial,89.99,15,1349.85,Enterprise
2024-01-04,Widget A,Electronics,25.99,38,987.62,Consumer
2024-01-04,Gadget X,Home,15.75,75,1181.25,Consumer
2024-01-05,Widget C,Electronics,42.00,28,1176.00,Business
2024-01-05,Tool Y,Industrial,67.50,20,1350.00,Enterprise
2024-01-06,Gadget Y,Home,22.30,33,735.90,Consumer
2024-01-07,Widget B,Electronics,35.50,45,1597.50,Business
2024-01-07,Tool Z,Industrial,89.99,12,1079.88,Enterprise
2024-01-08,Widget A,Electronics,25.99,62,1611.38,Consumer
2024-01-08,Gadget X,Home,15.75,80,1260.00,Consumer
2024-01-09,Widget C,Electronics,42.00,35,1470.00,Business
2024-01-09,Tool Y,Industrial,67.50,18,1215.00,Enterprise
2024-01-10,Gadget Y,Home,22.30,40,892.00,Consumer
